participant,channels                                                                       ,n_channels,channel_acc
21         ,"[4, 3, 9, 16, 6, 17, 30, 24, 10, 5, 25, 12, 18, 22, 21, 11, 19, 26, 7, 8]"    ,20        ,"[0.10632008191801877, 0.11485285100242495, 0.26197046890871956, 0.8386027965356078, 0.9624016905342858, 0.4685770729213745, 0.7427766254382324, 0.3650542818005042, 0.34024805294526517, 0.7885812012797183, 0.47590095661646314, 0.4000648575730155, 0.44559597073987617, 0.15677451351987784, 0.15461850360155704, 0.06814212042244835, 0.7495725303076505, 0.6540198763886547, 0.4294184493551114, 0.39312013434918053, 0.32608437764888804, 0.40304109941031757, 0.4155869673229723, 0.25337749819617494, 0.4941084471933512, 0.4496440654738239, 0.3848822326533969, 0.1960966053784558, 0.2732711109536425, 0.17447275923412078, 0.6002529772806364, 0.007948835575449183]"
22         ,"[13, 9, 19, 15, 23, 25, 24, 2, 26, 18, 17, 20, 16, 4, 1, 7, 12, 27, 21, 28]"  ,20        ,"[0.323783612881171, 0.4388981041500467, 0.6198088732943121, 0.2603547298660167, 0.45932280290578353, 0.31320042065146414, 0.14241406068407136, 0.4233343498653883, 0.0, 0.9804520923528691, 0.03097494269960066, 0.33174540902072425, 0.42034910265317316, 1.0, 0.36972085833751833, 0.728078604643296, 0.4621410551356415, 0.4766574207068762, 0.49215540562497206, 0.8624864284118019, 0.473983668072436, 0.3928319327275296, 0.27944292125349834, 0.7085924423867143, 0.6473017659207717, 0.6972357146818937, 0.497421168506653, 0.4050985468777737, 0.3854938244271492, 0.0815529678038921, 0.21233917791553278, 0.08709956985885799]"
23         ,"[31, 0, 19, 23, 30, 17, 5, 22, 2, 20, 26, 7, 8, 15, 28, 4, 29, 11, 25, 24]"   ,20        ,"[0.9896384432127262, 0.1619689959047685, 0.5260563256101496, 0.0, 0.3920392081296209, 0.7458834993565112, 0.2522704214875259, 0.4467501302244008, 0.44153139073564107, 0.14106120802656336, 0.15340724931004554, 0.3664639215481347, 0.04904551594447669, 0.18402923836732982, 0.0, 0.4336028360578825, 0.009575034636593741, 0.7729824250172417, 0.005409548548443305, 0.9801088075803003, 0.4907077449375635, 0.0, 0.6766377460451494, 0.9362998655931163, 0.2800244799993065, 0.34381947953699904, 0.4525681846295687, 0.0053157195455368535, 0.4009261506901908, 0.37028805676578097, 0.791665887679802, 1.0]"
24         ,"[31, 26, 7, 23, 13, 22, 24, 8, 17, 11, 19, 15, 12, 21, 20, 0, 3, 4, 10, 28]"  ,20        ,"[0.3617103932882214, 0.02306151712526465, 0.20683883944436812, 0.33043557521966505, 0.3239163141441308, 0.21413039107709328, 0.0, 0.9242909718544627, 0.5796051907766576, 0.19391986492724736, 0.31105102212806957, 0.43889325453080763, 0.38730855304221656, 0.7086011054539149, 0.0011858724811931723, 0.4039106616101783, 0.022746017873108648, 0.4961600313812661, 0.0759958965291432, 0.4112904638529909, 0.36918571868353983, 0.37020750695596405, 0.6463036141887337, 0.7265695962012273, 0.6456202676954041, 0.0679287684484229, 1.0, 0.07761653538853704, 0.243177275423211, 0.21765287753719081, 0.0014351331588014688, 1.0]"
25         ,"[13, 11, 3, 9, 27, 5, 29, 4, 20, 1, 15, 7, 16, 31, 18, 2, 30, 19, 22, 0]"     ,20        ,"[0.34362661804765526, 0.4797732620842288, 0.4099194299106689, 0.6208182799160233, 0.4986771149692022, 0.527909333705245, 0.14812527955370128, 0.47100869913761895, 0.29825883537342157, 0.6173633317517266, 0.34250657864949074, 0.6359351110272122, 0.09764974485716411, 0.8638326729299471, 0.25511778188427137, 0.47180347548002, 0.43337103773603564, 0.2535466782530609, 0.41130986724169416, 0.3852259529830378, 0.4921816843206179, 0.09392214603361812, 0.3820068281088969, 0.3306395698621667, 0.30863955683623834, 0.14661413330053005, 0.1804119577921814, 0.5949086088260112, 0.10731093511297168, 0.49960614932764913, 0.38843671455745815, 0.4138659526663786]"
26         ,"[22, 26, 0, 2, 20, 27, 3, 17, 21, 10, 19, 12, 24, 14, 15, 18, 11, 28, 8, 5]"  ,20        ,"[0.727978889724761, 0.2462039059767468, 0.7129749076080064, 0.6188844689432775, 0.03013424136027508, 0.34957005138699637, 0.00960221613603866, 0.248798123626625, 0.35836486136366963, 0.10925039588348456, 0.573497525113918, 0.3684154506733072, 0.4521935850736235, 0.02952212322805901, 0.3898377030050105, 0.3893600006447722, 0.029137170781220384, 0.5978284836430547, 0.3750028184564615, 0.4981877421001858, 0.6962747132701746, 0.5966981868683818, 0.9821880415126207, 0.10961231823817894, 0.43127513321572686, 0.25598080100797227, 0.8073173980187156, 0.6207219625285998, 0.3645978450175932, 0.2586962984477797, 0.3411608025457278, 0.17655314548789816]"
27         ,"[29, 24, 9, 1, 23, 19, 21, 17, 31, 0, 26, 6, 25, 22, 8, 7, 5, 30, 2, 20]"     ,20        ,"[0.49651888697703334, 0.6629720750201812, 0.28371390303825506, 0.23934827677807474, 0.06339644141469211, 0.3564222058556232, 0.4257527228057391, 0.38904636721714353, 0.39937224805999466, 0.7619296575697971, 0.21448178192881778, 0.16090722091380516, 0.20832097317363923, 0.09932465413453637, 0.09560113961283588, 0.0, 0.11038094172291327, 0.5455815157762761, 0.10232637746624663, 0.597069322343661, 0.27627423193144307, 0.5572031054119314, 0.40090933731819756, 0.6125932300858883, 0.7729253728863527, 0.40681846811666456, 0.4946112515221764, 0.020404303496747045, 0.22187254410561602, 0.7921208128485221, 0.33273858033373627, 0.5338799205543945]"
28         ,"[0, 6, 20, 3, 25, 24, 2, 13, 21, 17, 5, 9, 15, 14, 19, 31, 8, 4, 27, 23]"     ,20        ,"[1.0, 0.23763552897759121, 0.5158252144373947, 0.8494985408373724, 0.2799179148912707, 0.44766503138869007, 0.8996020090948962, 0.20888549375409066, 0.280162945507353, 0.4323565814267967, 0.04316938101934509, 0.12878372420029538, 0.17362426207077397, 0.49297406071267635, 0.3935942306717608, 0.3961423824580496, 0.25220236701291016, 0.4597869708105575, 0.21997824086074402, 0.3800544875410383, 0.883078208289017, 0.4655923496234514, 0.17826310395893202, 0.2598545540702623, 0.6731711815850214, 0.717886682906254, 0.16129706291261647, 0.27772534339019106, 0.022879904965159126, 0.17503162159447153, 0.18345872269771846, 0.28673801590477926]"
29         ,"[13, 31, 3, 0, 19, 15, 18, 10, 16, 6, 30, 20, 8, 24, 7, 27, 11, 2, 5, 29]"    ,20        ,"[0.9231413609133987, 0.130936096846697, 0.3740090663032488, 0.936105109627357, 0.19306662022651652, 0.3554335563006981, 0.47131983682474904, 0.40444740537077595, 0.46114196428235044, 0.10891191642269502, 0.72487579367145, 0.3930196192932381, 0.21234395204742232, 1.0, 0.04799290022590741, 0.7865704869880938, 0.5678614203053591, 0.08039767008849383, 0.7336603302148035, 0.9088352615568002, 0.4670180690045365, 0.24063930126368693, 0.026805171732739802, 0.1693996126711185, 0.4281992839053017, 0.18997814860047618, 0.09374040316581725, 0.4041597696495428, 0.2874017852974187, 0.28836241820538383, 0.4675675523964058, 0.9918331872163603]"
30         ,"[5, 3, 6, 10, 21, 25, 26, 24, 16, 1, 12, 13, 30, 2, 7, 31, 9, 27, 14, 29]"    ,20        ,"[0.11860446240994213, 0.638865535669804, 0.44909289987426126, 0.8946689779743724, 0.0, 0.9081134187670572, 0.8892782257583267, 0.44886933691121483, 0.16807781767379368, 0.3847706224808772, 0.8355149153600164, 0.26271068033750405, 0.5848719051675761, 0.46141941246041296, 0.36575766664177506, 0.20058325665254415, 0.674811759152434, 0.29871027535376793, 0.2918268894692491, 0.2995204322165823, 0.2511649409733259, 0.8120980885399213, 0.15906340496925125, 0.2065143853245132, 0.6852315288281102, 0.7912270664345635, 0.7588340167437809, 0.36912526587976563, 0.011106314011707905, 0.3440336476959843, 0.45823134234664087, 0.39698903295527044]"
31         ,"[1, 13, 28, 17, 14, 3, 29, 11, 24, 20, 7, 15, 23, 18, 31, 5, 8, 10, 27, 25]"  ,20        ,"[0.1167270439898635, 1.0, 0.0, 0.7691530102335581, 0.24443024446527103, 0.39345088327378563, 0.0, 0.47870936034772393, 0.3899762007549421, 0.24382867464613325, 0.3705555330126118, 0.6673102151032837, 0.1623801792335362, 1.0, 0.8957885458220944, 0.4731634082963629, 0.002202631969344708, 0.9084519034150188, 0.4557059237671741, 0.0, 0.4960698685780074, 0.03460814385755116, 0.14910435983149306, 0.4596393638846539, 0.647439760997422, 0.25314367084200595, 0.05027204695189848, 0.2729102778469996, 0.923624377774783, 0.7328818027346643, 0.010132245223753451, 0.4313416767965321]"
32         ,"[15, 17, 0, 13, 31, 8, 29, 10, 4, 22, 25, 3, 12, 24, 20, 19, 5, 21, 2, 1]"    ,20        ,"[0.9723554247013233, 0.24795790240985421, 0.25437339567617884, 0.4296442476072714, 0.46128024606113516, 0.30332794999631796, 0.11907782885846183, 0.16839477009981052, 0.7436056148842681, 0.14603042042902425, 0.49987365607969286, 0.07234308146048313, 0.4210081302487983, 0.9017167290508742, 0.0, 0.9986631245886751, 0.07285581603107145, 0.9876713859829032, 0.0, 0.31495017137662307, 0.3493203410078559, 0.28965757734004444, 0.45347993417378807, 0.06706014753304207, 0.4022551557723183, 0.43929284648374806, 0.0, 0.1780299553435668, 0.18745128538730482, 0.7180543277365031, 0.17868874870612456, 0.7816809554253965]"
