participant,channels                                                                       ,n_channels,channel_acc
21         ,"[22, 2, 25, 29, 19, 10, 18, 0, 15, 30, 5, 16, 26, 21, 23, 11, 17, 13, 7, 28]" ,20        ,"[0.446205836181212, 0.13634188029340188, 0.9482127641060716, 0.2365235937678979, 0.19602694932381481, 0.41088203701771686, 0.2246745865704476, 0.29558283574164557, 0.16310304269947706, 0.07272718209506024, 0.6137675263622625, 0.33998953763125883, 0.21280833493911788, 0.2959619612834643, 0.22118741061995806, 0.422960972041056, 0.39024577367693003, 0.3142940962776125, 0.5965848399870584, 0.6397608003743456, 0.19240727338397556, 0.3725993914908625, 0.9515509375796269, 0.34084028147407, 0.22324565383643802, 0.7494391959332557, 0.375732891061598, 0.11638175835879438, 0.24640299481888384, 0.7216105385307519, 0.4175784567622487, 0.21989266352955517]"
22         ,"[3, 19, 14, 27, 10, 5, 16, 31, 12, 21, 29, 4, 0, 22, 15, 9, 6, 20, 13, 2]"    ,20        ,"[0.36740794330144677, 0.12315153866453599, 0.17429811964477004, 0.963494148044241, 0.4047093430892442, 0.7147996171843319, 0.21250668429517072, 0.00019773125979272166, 0.0173614570201005, 0.2870776838586636, 0.7761183085266855, 0.09713788299930282, 0.5069288723613038, 0.1899206454646578, 0.9092358872804166, 0.3355087455546468, 0.70606416683175, 0.10515778158146538, 0.11843619512573367, 0.932057076561161, 0.20875102632854725, 0.44242428699355696, 0.35569233419245305, 0.04217495838863061, 0.06741512166194408, 0.10650397290741953, 0.04942210596303653, 0.8977797501256584, 0.05525369529500046, 0.43922571616670314, 0.10187404104940623, 0.6712418799277323]"
23         ,"[23, 31, 1, 7, 29, 16, 27, 22, 9, 14, 4, 12, 21, 13, 15, 28, 8, 11, 5, 26]"   ,20        ,"[0.16641880813293913, 0.8763959672008171, 0.003105305403511972, 0.07758330135485753, 0.38514855455024405, 0.25441216055332994, 0.0947055261140546, 0.856601816107482, 0.3019267638543506, 0.4495956342398699, 0.007571065957770469, 0.258558299803238, 0.3765907895209723, 0.35875433817384567, 0.3944394481494521, 0.3481043529332681, 0.5733955594002843, 0.18532696705382237, 0.06701879418162886, 0.00043175441645988433, 0.15811495922784452, 0.3760947847775848, 0.5045494500426574, 0.9998527603739187, 0.22713615149078037, 0.10768462648240412, 0.23642623161693677, 0.5325295749636378, 0.315532945457601, 0.815794264768139, 0.0, 0.8777030011415103]"
24         ,"[14, 26, 21, 20, 2, 10, 6, 31, 22, 15, 3, 12, 30, 9, 13, 25, 29, 16, 27, 18]" ,20        ,"[0.14542060576520272, 0.1428388181065723, 0.7506131055192377, 0.4570409847657977, 0.23592736235518202, 0.30646337921434136, 0.6783610306379555, 0.050761951495034534, 0.2707734830352076, 0.4501974196305611, 0.7304680682549889, 0.06815796929678396, 0.45649995571597934, 0.41766808208342443, 0.9316707929279242, 0.4717317994469748, 0.397081911774152, 0.12358613764557105, 0.3756937928108825, 0.2513450712200561, 0.7591003419726144, 0.8053399198063332, 0.5388169771548347, 0.30921589303661967, 0.2968938884585097, 0.41248316589573536, 0.866647317776251, 0.39417593573123005, 0.2736991728692471, 0.4004733057017484, 0.4512793645775508, 0.6009351361831388]"
25         ,"[1, 18, 6, 15, 24, 21, 13, 5, 10, 22, 26, 23, 27, 9, 16, 19, 14, 30, 3, 31]"  ,20        ,"[0.19189283399825197, 0.9975145807813177, 0.17215619428907858, 0.31447911508582294, 0.005905067119717167, 0.4649789239936368, 0.7580003312286228, 0.09719149231817048, 0.2194006312855863, 0.3925745355077166, 0.44255752585803276, 0.14245760471476165, 0.21018339487727922, 0.4762233899159486, 0.37259238455420896, 0.7097350827195231, 0.38701034592834466, 0.2586533857187596, 0.8146205605123805, 0.382996513994708, 0.10583958996835469, 0.490972955502052, 0.43363566765737727, 0.424199992314894, 0.5400175752798513, 0.26166508013529144, 0.4280642307701913, 0.4029463280130311, 0.28963461377586563, 0.15024206025211606, 0.36475652432926764, 0.29655512606121837]"
26         ,"[16, 25, 24, 27, 18, 21, 22, 12, 9, 10, 14, 7, 31, 19, 2, 30, 28, 11, 1, 13]" ,20        ,"[0.2709301601117421, 0.36166656367256655, 0.39903648756014765, 0.12497386456504063, 0.2555982309797997, 0.0, 0.1655677858033447, 0.4982263478410981, 0.0040442964929206, 0.6410852231536034, 0.6124768292442698, 0.364320686643232, 0.7321189892772334, 0.33132416627151895, 0.4994227169691516, 0.28344503437208857, 1.0, 0.07048425682403653, 0.9739697724476253, 0.4553160518126539, 0.0, 0.8721333161657256, 0.8492394741385443, 0.30787642417635525, 0.9975181244618705, 0.9975665557082908, 0.002967446694359107, 0.9966068167432885, 0.3812502605761795, 0.07771125321197549, 0.3906295882516758, 0.4961559018904526]"
27         ,"[20, 22, 31, 13, 18, 8, 28, 7, 19, 23, 17, 0, 16, 12, 30, 5, 3, 2, 1, 24]"    ,20        ,"[0.40960864627776483, 0.25345840361365435, 0.2603770522401513, 0.26143540433352375, 0.10918341872766552, 0.3141497123983879, 0.09926333745644206, 0.8005590373565479, 0.8407406626270105, 0.003437260251618602, 0.12678633018010532, 0.17333344161342076, 0.3373764261252673, 0.946961830701255, 0.0, 0.0, 0.4020622789277822, 0.4144022072954778, 0.9460743916095752, 0.730662177524341, 1.0, 0.16505900782769464, 1.0, 0.41656175719682886, 0.23320856667920223, 0.2303874706216591, 0.0, 0.1348392048528329, 0.8134614421797937, 0.012132091778887584, 0.3220356259620465, 0.979831370302358]"
28         ,"[4, 3, 14, 28, 19, 26, 21, 1, 18, 5, 25, 13, 9, 7, 12, 6, 0, 29, 8, 27]"      ,20        ,"[0.3745719134080746, 0.7197457018713406, 0.21772524596657558, 0.9890488907807666, 1.0, 0.5662446301119028, 0.37763851415988536, 0.4016786171689361, 0.3354832280742626, 0.41991057094805, 0.2666262670605699, 0.03344053631313434, 0.38481633600904575, 0.44771491581075357, 0.9890234742652217, 0.05821453934699232, 0.159077289407761, 0.0004403126583828963, 0.7148160835434529, 0.8948256059148852, 0.24840067070026292, 0.7439733262832714, 0.016389936834318112, 0.25729733305033126, 0.22956655296270015, 0.48381342794168963, 0.7768513073896398, 0.3278892367258151, 0.9163772663561633, 0.3583438214864917, 0.277401113279001, 0.04949051762169426]"
29         ,"[23, 22, 26, 4, 21, 6, 5, 9, 14, 8, 18, 25, 17, 19, 16, 13, 15, 20, 1, 10]"   ,20        ,"[0.20604355875528246, 0.31175286134243063, 0.2207920388790407, 0.21217078020361746, 0.9265895377414572, 0.7279314406170525, 0.7636443639886549, 0.011201979713749281, 0.5574010543291157, 0.6224961977076052, 0.24837215870003637, 0.08408473322033248, 0.10276276553780093, 0.3626747868273663, 0.6079085804029787, 0.31950984659889126, 0.39499634688094265, 0.4820886606272911, 0.49908434142942426, 0.40224928630583223, 0.3150306689150874, 0.7821488175066594, 1.0, 1.0, 0.0, 0.49377820015835583, 0.9935568566183522, 0.00015326982298139022, 0.133741641974226, 0.0, 0.13123020691860335, 0.17978162250099455]"
30         ,"[28, 2, 19, 6, 31, 17, 25, 7, 11, 27, 16, 20, 22, 15, 24, 4, 21, 30, 26, 18]" ,20        ,"[0.13508957560244272, 0.19189283399825197, 0.9975145807813177, 0.22598898456646727, 0.31447911508582294, 0.0, 0.7950836407222481, 0.49222418520006517, 0.09719149231817048, 0.2194006312855863, 0.17327323048335666, 0.44255752585803276, 0.14245760471476165, 0.21018339487727922, 0.04484015754344581, 0.37259238455420896, 0.40477243470413654, 0.6829993719534219, 0.2586533857187596, 0.8146205605123805, 0.382996513994708, 0.27530174235411253, 0.37784908326958516, 0.10472184150723515, 0.36549301994983185, 0.5400175752798513, 0.26166508013529144, 0.4280642307701913, 1.0, 0.0, 0.2692349310214113, 0.6847083235025875]"
31         ,"[11, 15, 5, 6, 24, 20, 18, 31, 14, 4, 19, 17, 8, 12, 29, 7, 23, 13, 25, 22]"  ,20        ,"[0.08854100875603246, 0.04193437649471601, 0.16360351701256734, 0.031080218495967222, 0.45061597636012324, 0.8058897799553921, 0.7043773376830653, 0.29728519885176, 0.43475652452886243, 0.0014529246885659098, 0.0, 0.9894886666068611, 0.32571864266663814, 0.25493469100693966, 0.4954150390942052, 0.9514673460685337, 0.0487863524705956, 0.4358142019530872, 0.5779914171706328, 0.4400668315546242, 0.6218674535714013, 0.16863276094855478, 0.1775518314965493, 0.2927843544024528, 0.6441974810610928, 0.22679698273405202, 0.11783977925156884, 0.029414616284752455, 0.1693984689556976, 0.3097828875549752, 0.005208068786411419, 0.5486779581220462]"
32         ,"[5, 20, 15, 19, 26, 22, 16, 14, 23, 13, 17, 0, 28, 11, 31, 18, 30, 2, 29, 12]",20        ,"[0.39954920773460634, 0.11911045837384615, 0.19117312469041958, 0.1779785921709205, 0.06365366073948046, 1.0, 0.09731856324847343, 0.02178568710249358, 0.06530562680512886, 0.03251192279985793, 0.054676065051992996, 0.39921437718428177, 0.18177205124234752, 0.4304371829227077, 0.46140802137580417, 0.8771136200492514, 0.5013262552030431, 0.41228148979877033, 0.3085029112838794, 0.8134891283182333, 0.9465564623550672, 0.0659925684514822, 0.7891751653208224, 0.43280028338905385, 0.0943265758210875, 0.16356025252122464, 0.8121854072673412, 0.15508308909946977, 0.3995364371508108, 0.18597207082122602, 0.29240645856599945, 0.3518353325978708]"
