participant,channels,n_channels,channel_acc
21,"[26, 5, 31, 17, 10, 2, 3, 28, 20, 12, 21, 27, 24, 9, 15, 16, 11, 14, 0, 7]",20,"[0.23916980118693154, 0.23080252737041418, 0.5172462312791792, 0.4162029066799832, 0.22024769552560544, 0.7975503996896564, 0.10081219177700462, 0.23661959717791567, 0.09829169347923737, 0.3530485252007396, 0.524417776877052, 0.2694039290965325, 0.3943901801713263, 0.07870245293882151, 0.24877230097198907, 0.32453685144310934, 0.3192327256398608, 0.5484256669679141, 0.1585334528797164, 0.0956326729637439, 0.402000074195388, 0.38510607068554004, 0.08026146088316763, 0.23574097539334157, 0.3550230561181314, 0.19893668490940572, 0.8006414639119116, 0.3765833923697303, 0.4034351547394855, 0.10624849941614238, 0.059916496657318706, 0.5953245957891065]"
22,"[30, 23, 5, 12, 18, 4, 0, 15, 10, 1, 7, 8, 29, 13, 27, 6, 22, 2, 14, 24]",20,"[0.40556700837414933, 0.37870779227302087, 0.2211980207313866, 0.09765203025951456, 0.48006725953585544, 0.6518407705227557, 0.23054069597847957, 0.35911217085601255, 0.3237896055749867, 0.18722560871441274, 0.38694877739310335, 0.09682811267134772, 0.6284060619361362, 0.263675723668101, 0.20483599781502448, 0.3896328943891291, 0.0182939336447955, 0.11915580085555244, 0.49406178872328743, 0.08612284469358357, 0.10888446958608344, 0.04635508884735708, 0.22672732754455038, 0.6630583093659737, 0.19455789868584186, 0.07449310495759104, 0.18171989171129924, 0.25726652412844936, 0.1590099251989646, 0.28143095737986923, 0.7993616356650216, 0.08995766980051596]"
23,"[20, 4, 9, 23, 18, 19, 15, 31, 22, 28, 10, 0, 1, 3, 30, 14, 7, 29, 27, 16]",20,"[0.3711278959464724, 0.36496526953866093, 0.1178534298242695, 0.3592529607778814, 0.4770832573836152, 0.20274999671983873, 0.15466631596752864, 0.30862758598377266, 0.08194311153446208, 0.4682575892572358, 0.3803757298354939, 0.16984049189073047, 0.11411257974490775, 0.22472235864725754, 0.33623305671135517, 0.43180058264896565, 0.25836476930028107, 0.08017954837806944, 0.44644408086343096, 0.43422969000380496, 1.0, 0.1736816879538027, 0.4241616380048561, 0.45603109402337977, 0.09158760474543504, 0.00860527176959438, 0.21360324170377853, 0.28433495712996965, 0.38241173927397715, 0.2902696879608299, 0.35759215930156746, 0.42646729530251265]"
24,"[29, 6, 20, 11, 3, 8, 28, 2, 7, 27, 12, 23, 21, 22, 5, 14, 1, 16, 31, 18]",20,"[0.018616001672677792, 0.2161893594085751, 0.4176435604218418, 0.48652802479426366, 0.04916530196210681, 0.2847952956676923, 0.7380272543808296, 0.38191514355006834, 0.4392920923007313, 0.08677313027367371, 0.021024699853976387, 0.611265522175546, 0.3599464737111655, 0.08317964248550822, 0.23094433756369745, 0.04364550839611712, 0.18883570026063848, 0.08695346297412336, 0.1500225829941093, 0.04314402965890555, 0.733704457994937, 0.3412973522409417, 0.3395375245869727, 0.3430904223072835, 0.08747704676630459, 0.14624346930177368, 0.08680482924425652, 0.3634208324788644, 0.4286666881025596, 0.8253982190468713, 0.03247616487810339, 0.1688251718716419]"
25,"[28, 8, 21, 19, 23, 4, 12, 25, 17, 14, 24, 7, 29, 18, 16, 20, 15, 22, 13, 1]",20,"[0.17398892861791448, 0.25834104756326437, 0.19723973151814275, 0.07936950170845365, 0.43699659701389243, 0.2307089865272097, 0.2213428662386628, 0.36951195413740967, 0.6805946956993711, 0.23960739936261966, 0.015735274898869, 0.15298533555121896, 0.4300477371725672, 0.26810787491111404, 0.4001981215802434, 0.2873631001491311, 0.3208527380654261, 0.40737934765453554, 0.32585907750884663, 0.5894998996932878, 0.30759876861178176, 0.6013309504962918, 0.28705923204154177, 0.4475346137608595, 0.3886852336593587, 0.42264958687387805, 0.22215576126168812, 0.2099385592614916, 0.9275958727426925, 0.3506935618188231, 0.16823435182085897, 0.2022383307372395]"
26,"[22, 24, 30, 17, 15, 20, 25, 13, 23, 14, 21, 18, 1, 2, 19, 27, 16, 26, 11, 9]",20,"[0.1848678364141573, 0.3153988913605125, 0.3148594131843508, 0.0654053143776733, 0.24316660851786898, 0.024856057788612565, 0.21622750896820406, 0.22679145814845078, 0.18365105066387555, 0.2471710945166148, 0.0, 0.2525041525376599, 0.07491778429577134, 0.39839526541669756, 0.36691089533641535, 0.45817451259044856, 0.2808310709569621, 0.4606148052838082, 0.3341841402657712, 0.3053342927985841, 0.4352469627996289, 0.3490976972677207, 0.6383751288259399, 0.37680352688276275, 0.4851336132534924, 0.40207450957605156, 0.2740601926480323, 0.2822642241307277, 0.06571890116955542, 0.06809371033190531, 0.4729262665685272, 0.1781335167503876]"
27,"[17, 25, 16, 22, 7, 6, 15, 3, 23, 13, 4, 24, 11, 20, 9, 5, 18, 19, 14, 8]",20,"[0.12631933758906397, 0.05193305678534249, 0.23716146659070084, 0.418797074755117, 0.37964789181565134, 0.32254640827303177, 0.5218212178197459, 0.5431300874156488, 0.26513728914238377, 0.3302912178749932, 0.09270947546748359, 0.3745939426193916, 0.025744040483088326, 0.3898734996416055, 0.2772651947555383, 0.4272883879214911, 0.6463919962555622, 0.7416780662264596, 0.3076490215663708, 0.3031718628224231, 0.34486100740965925, 0.09833383094202731, 0.5972795241483481, 0.416326760511454, 0.37491766104532953, 0.6982252140178948, 0.24372003986224802, 0.19938876799142, 0.12926020800376345, 0.1154436260668555, 0.19512039520234806, 0.2385666132530803]"
28,"[2, 16, 6, 9, 0, 10, 23, 21, 25, 29, 13, 14, 3, 22, 1, 31, 20, 26, 8, 28]",20,"[0.45922137841066624, 0.2870340124989877, 0.5556630201622059, 0.30988352915826883, 0.0, 0.13404295992766976, 0.4896911079116731, 0.12618535501605646, 0.24393115689306064, 0.477362129925975, 0.4551611429344537, 0.19024212933877252, 0.020269290451685434, 0.32701247816304463, 0.3169993850135475, 0.06012367378907892, 0.5536567385933197, 0.23260660871558272, 0.0542289048400004, 0.07871051527589897, 0.2736592490004253, 0.38807233855340817, 0.29813446650977843, 0.426029753688215, 0.0949839760732089, 0.3773509545752474, 0.26300400088199954, 0.1657005173215618, 0.24209549516366455, 0.3384588617279718, 0.14861647114157403, 0.28685193512932905]"
29,"[25, 3, 5, 27, 30, 31, 26, 6, 2, 22, 29, 21, 15, 14, 16, 17, 24, 12, 1, 28]",20,"[0.16125655603235226, 0.3065133890594095, 0.4342624491894955, 0.6368385262078993, 0.18204816261930204, 0.5506018621151505, 0.4375078383696511, 0.05440024348145068, 0.22830744792667743, 0.2328314689457949, 0.29498498610608265, 0.2976940493516124, 0.3089311371836727, 0.29413873111632044, 0.351571379058389, 0.35825079071818416, 0.3291833560907193, 0.316998076976628, 0.2035991931494904, 0.2931115378391569, 0.10029387124254614, 0.3610318034302437, 0.42512042297554453, 0.2758714893116048, 0.3142029921796987, 0.9290770761569105, 0.4437320712524972, 0.5407019603411288, 0.3052307635533783, 0.38132048606523705, 0.5224853902926689, 0.44452476128915025]"
30,"[22, 21, 24, 2, 15, 16, 0, 10, 9, 4, 18, 8, 19, 30, 7, 23, 28, 17, 11, 25]",20,"[0.37666419159164927, 0.15044562191190095, 0.4664872018256537, 0.1180091870280472, 0.30400965549586956, 0.09736043652061797, 0.08770024508701697, 0.23573394962053165, 0.2810767505990732, 0.3368623857537439, 0.3665695635317454, 0.1849900807676664, 0.1250536497431653, 0.04124857272838667, 0.07729875502678385, 0.4656789145865184, 0.4175370809572148, 0.19151706380685565, 0.29233658902660187, 0.2778631132592668, 0.03684906909219966, 0.5246157418039646, 0.7254708580572595, 0.22020118613617878, 0.5026324527970568, 0.1822385117896599, 0.0975652286711836, 0.09559299568399249, 0.1950721614538752, 0.0015949817941124684, 0.2585972631721991, 0.010661485504540729]"
31,"[12, 4, 31, 15, 8, 16, 0, 19, 6, 11, 14, 26, 30, 2, 18, 17, 28, 29, 23, 25]",20,"[0.4175313594971363, 0.08743968136682696, 0.3216682131118797, 0.2040413883615415, 0.5523589595930499, 0.18150282327173514, 0.3499540068452663, 0.13302422749349438, 0.4652804793573579, 0.16360454520918502, 0.20559693438232188, 0.34764598831370247, 0.8646274683166869, 0.07963944709308855, 0.34255756063048565, 0.4999374196138864, 0.443441222816856, 0.29583167827815476, 0.3046274422610539, 0.41102567436797616, 0.10099331073057778, 0.13920725343820492, 0.1356508212560868, 0.24186746593197625, 0.11021105118406758, 0.21794395817834858, 0.3306735853562301, 0.026192446624634824, 0.2803341637240293, 0.26866131955182976, 0.32318044510733174, 0.5164281523607287]"
32,"[14, 4, 23, 20, 26, 16, 5, 24, 21, 0, 1, 29, 31, 7, 10, 15, 11, 19, 12, 9]",20,"[0.46211254469910923, 0.4515983427315034, 0.10582989466839254, 0.028629918211074006, 0.5637411639100597, 0.48103415567054464, 0.11117758435565235, 0.3065302517648861, 0.19105473834650266, 0.21785258046732378, 0.30021495737381615, 0.2652372987311316, 0.22102553215644896, 0.1571649421093092, 0.8593006305087633, 0.2700473972291177, 0.4964478211194792, 0.15528146595341416, 0.1433175022972408, 0.22831712640817195, 0.5468853454280521, 0.46646071290283525, 0.17692556496254266, 0.5618082097530656, 0.46869212054135273, 0.20307658076716031, 0.5345050499448768, 0.024602310016951543, 0.15107041715690386, 0.4498039521106771, 0.11004259440434168, 0.3115838192345867]"
