participant,channels,n_channels,channel_acc
21,"[22, 23, 26, 9, 20, 30, 5, 3, 16, 7, 27, 18, 31, 25, 17, 8, 24, 10, 11, 14]",20,"[0.08231302387801745, 0.15675359567604538, 0.06199871280258081, 0.3372024816287192, 0.0978158461143684, 0.36054438905270264, 0.017276629916114363, 0.32466986614489773, 0.2974729682904575, 0.5142732198774435, 0.2859417803828204, 0.2837515929488622, 0.11623456677354432, 0.17174802883186732, 0.2724652427700254, 0.25938984955071454, 0.33245292409481875, 0.30830484616405, 0.31710828963773285, 0.06114569658653757, 0.4050856720242642, 0.14931549141722286, 1.0, 0.9192286521002799, 0.2888957480798425, 0.3094417327936454, 0.6751137879119059, 0.3236788719951427, 0.06017681447947304, 0.09970341659473743, 0.380103449583112, 0.31363342394220456]"
22,"[18, 22, 31, 10, 0, 16, 29, 17, 20, 13, 26, 8, 27, 1, 12, 21, 11, 15, 24, 6]",20,"[0.4560451098179197, 0.30469778332922476, 0.1259160801817268, 0.05780267902939748, 0.06252121100400129, 0.14649669326869189, 0.2242881253579704, 0.20189359772419793, 0.348157101729786, 0.21674518611961444, 0.48114782886953195, 0.27240512225539687, 0.30327215297250826, 0.36025164265030885, 0.20904552421198633, 0.2615321319621516, 0.45508722075695296, 0.4026404395544933, 0.5444967216557132, 0.18510203181853066, 0.385406917998806, 0.2743705201902941, 0.5173254373374925, 0.12381176271460355, 0.24344101631216775, 0.148682360039313, 0.3578048127366149, 0.3418176972871913, 0.10960020677711223, 0.428910650245595, 0.15743965570092264, 0.49879465502820003]"
23,"[14, 13, 28, 31, 18, 22, 19, 2, 4, 27, 15, 16, 30, 24, 26, 11, 6, 10, 25, 21]",20,"[0.0699930022368573, 0.20818199793177672, 0.49384651088649556, 0.09805730646273562, 0.45262397975962926, 0.16825687619395321, 0.25697819535789407, 0.07129599852806505, 0.18459257028450105, 0.07361750308028124, 0.22655797982959647, 0.30315221225747974, 0.04919341959363136, 0.6567937618043372, 0.7228553956105594, 0.3586989657145949, 0.33286938868171595, 0.13602717942170411, 0.5865746593104809, 0.5178611070736392, 0.14004772699232146, 0.22129791832866982, 0.5354866183851859, 0.19327631383752789, 0.32206356857700075, 0.22530489605968898, 0.3109842147531838, 0.367052204668792, 0.6046926756738625, 0.15099263794285067, 0.33064343117348227, 0.5905051518334282]"
24,"[29, 24, 17, 27, 2, 28, 6, 13, 8, 14, 5, 4, 1, 20, 22, 31, 11, 18, 25, 12]",20,"[0.2590562017704919, 0.3436202592923651, 0.422681970733279, 0.1816064825064194, 0.34500977885517575, 0.3637714461049604, 0.3911268149584152, 0.15648238945533519, 0.3705123421561458, 0.210817979307796, 0.03622256336873231, 0.3285983497251866, 0.275358040512041, 0.3879243865925787, 0.36532071920528586, 0.013867898120159145, 0.23537433017294482, 0.4704869204884134, 0.3231928119627905, 0.023014282305674788, 0.3431180850640612, 0.10239473958611887, 0.33204156774917093, 0.1978276416498638, 0.6160717733534903, 0.3074173743533501, 0.08462276468089856, 0.43970025719497413, 0.3934987615462202, 0.7456758904690611, 0.1781709639431893, 0.3290888436355209]"
25,"[27, 1, 17, 13, 0, 28, 20, 8, 10, 21, 31, 16, 15, 22, 29, 23, 26, 25, 6, 11]",20,"[0.45204192571695806, 0.5549062208666451, 0.058252054747784575, 0.0711535662806481, 0.19029075226059, 0.13228349943514475, 0.2103703512053591, 0.1425675323560017, 0.3753884752808769, 0.10069701928710607, 0.352476572151277, 0.2072051351039952, 0.0911151686669095, 0.4994667492872517, 0.19685121000061115, 0.3005284929998598, 0.32267126397539436, 0.5125775294879056, 0.013693008796646746, 0.0042856435356768115, 0.4094715237345912, 0.34119114991046323, 0.2973184790183297, 0.24313411576469424, 0.1142789474284856, 0.21070478766227763, 0.2147309861771872, 0.7562094213389866, 0.421551516727183, 0.26211545870866243, 0.010980616498090935, 0.33927889525344596]"
26,"[1, 18, 25, 11, 7, 5, 26, 17, 0, 10, 16, 21, 20, 14, 31, 6, 3, 27, 29, 9]",20,"[0.4055608689431284, 1.0, 0.16359362219884793, 0.23085113505304533, 0.11063151155043634, 0.5125670355918639, 0.23407567870405052, 0.6477066805990418, 0.15785028591044625, 0.211500889256559, 0.33889448372151093, 0.6575249987837354, 0.03605265454239001, 0.15553267161752213, 0.2534393215244796, 0.032920574014769825, 0.33394172064647526, 0.4264429882943941, 1.0, 0.1057550932404986, 0.30320611752843046, 0.3331718439765281, 0.1108876702510993, 0.15514669235754527, 0.2036133446314917, 0.8224628457681189, 0.4556876533989061, 0.2305494350191928, 0.015633008468534392, 0.21539538521064264, 0.05827366584488386, 0.24212996275338675]"
27,"[13, 7, 29, 25, 5, 17, 27, 6, 22, 4, 15, 31, 20, 10, 21, 18, 24, 8, 28, 12]",20,"[0.03133214896461265, 0.11550243762008117, 0.17019702164597636, 0.17094797745389834, 0.3589861687495039, 0.6643665526338505, 0.4235000459301532, 0.8240482815405921, 0.19974371610785946, 0.1287737214065776, 0.2732904149367508, 0.08704511557850632, 0.17642539637981045, 1.0, 0.05635583498088581, 0.3580177603153903, 0.026813870911262114, 0.5678642096548913, 0.24058806926015572, 0.10503126873358276, 0.31980796331523426, 0.2507418525018766, 0.41068114176080117, 0.0017799345629308813, 0.20476553572125292, 0.6976317647889997, 0.106273448664991, 0.5436646367649548, 0.17747258861045523, 0.7191919851389926, 0.11806554851071666, 0.35036924913453754]"
28,"[29, 18, 21, 10, 22, 6, 14, 2, 8, 12, 20, 16, 25, 9, 7, 11, 17, 23, 30, 13]",20,"[0.08318964551956169, 0.2228619270689898, 0.46271903950167476, 0.16128763150495687, 0.09183870800273385, 0.1694663825436209, 0.48513947623481585, 0.31349524301004666, 0.44715862030343456, 0.3173666747946577, 0.5916277359651931, 0.30921212225437494, 0.40002952560866994, 0.27283453151694087, 0.48062386543015934, 0.0, 0.32374931664770873, 0.306694443213857, 1.0, 0.09110498181244592, 0.36259089365805997, 0.6614044744813933, 0.5641627447440553, 0.29264596333251314, 0.14818327020341826, 0.3180205825107329, 0.08384662269900527, 0.26170286397841463, 0.20832621885337518, 1.0, 0.28722029421030665, 0.23661837658252594]"
29,"[17, 6, 24, 2, 19, 25, 9, 8, 12, 1, 15, 31, 23, 11, 0, 29, 14, 22, 13, 3]",20,"[0.3127008826770314, 0.3804540903879952, 0.5081036933431493, 0.28730845567903524, 0.0, 0.21993430258542215, 0.6103129353452685, 0.16071999263412948, 0.40654077630977864, 0.41611810491787554, 0.1450573329020611, 0.3271872890814958, 0.3880371784174658, 0.2924199250765182, 0.30383655453063885, 0.3707112021593724, 0.06985480207229623, 0.6931735298627258, 0.14790375642036377, 0.4381018330490716, 0.2572382509072794, 0.2681042839169157, 0.2993095286396188, 0.3471702219312888, 0.6071310010834943, 0.430214741610863, 0.04563268622802425, 0.08143826191028578, 0.15990954927657233, 0.3047679112210371, 0.17040603781394428, 0.3531479562323672]"
30,"[6, 27, 24, 17, 4, 25, 10, 15, 1, 23, 31, 14, 19, 5, 7, 30, 0, 18, 26, 13]",20,"[0.23444060920716173, 0.39775301323512086, 0.11126112153571947, 0.0014322209102265438, 0.6763257025032923, 0.29415381949872726, 1.0, 0.255185563282819, 0.1589984972960343, 0.03247090384692745, 0.4677168350812848, 0.08243366398019923, 0.033828607861120186, 0.22022135176554855, 0.31607124450889684, 0.40854503312556795, 0.15911732774962126, 0.7362703855834826, 0.22430007445208222, 0.30679409186626777, 0.19874396674212735, 0.0614193975880283, 0.13843278663177241, 0.3833228476935477, 0.7529690190790402, 0.5198263057350427, 0.2216886388841897, 0.9182996966033631, 0.05447639612402918, 0.15589882056843973, 0.2535558947350581, 0.3756234741988696]"
31,"[19, 21, 29, 18, 16, 11, 26, 12, 28, 5, 10, 13, 30, 4, 23, 3, 15, 0, 14, 6]",20,"[0.2683030674165873, 0.0541788825424702, 0.11568833424152936, 0.292876593719493, 0.3221917548268431, 0.40637035479859174, 0.24727996057462956, 0.13029918227059792, 0.12856026350817995, 0.1707886899660486, 0.40527192306631954, 0.4772819665683261, 0.4324092243113073, 0.3298215602904056, 0.2674166718796224, 0.2803312520580851, 0.5587777315839966, 0.08580497095037627, 0.6505527763886771, 0.9510255261219855, 0.1037240578118309, 0.8770624950995409, 0.11347696629877435, 0.31297548839201356, 0.19150842311255634, 0.12879829134280593, 0.45299251600547136, 0.24395531648327493, 0.4143283740307813, 0.8038017837044497, 0.32233440581348693, 0.021519546722826632]"
32,"[17, 20, 16, 6, 4, 31, 28, 18, 15, 29, 0, 22, 19, 14, 3, 8, 9, 27, 21, 26]",20,"[0.3490833782679034, 0.16061299341487065, 0.17656666872970297, 0.31150687658711246, 0.4465205147977224, 0.004716091712261324, 0.4722692652002678, 0.18275126500507052, 0.30958603522589506, 0.3036895416504146, 0.1254539698382938, 0.1298523621339759, 0.1321762139331177, 0.19627482279544242, 0.3151274886086411, 0.3678039888322435, 0.5152586616119433, 0.9286583810528124, 0.38277665641458025, 0.3158863030945644, 0.761094021957927, 0.29695495047804565, 0.3272525816634832, 0.051653969238104835, 0.0751062338727388, 0.1823144309738003, 0.2645238320976169, 0.3032758206344278, 0.38903175362525316, 0.35562649587772016, 0.0, 0.40389273337997533]"
