participant,channels,n_channels,channel_acc
21,"[16, 1, 3, 26, 24, 2, 8, 25, 6, 7, 31, 20, 0, 14, 4, 10, 18, 22, 29, 28]",20,"[0.35670484973477473, 1.0, 0.5, 1.0, 0.20881785073359754, 0.0, 0.4645659976308733, 0.44999999999999996, 0.5, 0.0, 0.08512897918334789, 0.0, 0.0, 0.0, 0.28880087904879725, 0.0, 1.0, 0.0, 0.0, 0.0, 0.3890159297541261, 0.0, 0.0, 0.0, 1.0, 0.49389627768518146, 1.0, 0.0, 0.0, 0.0, 0.0, 0.3956200367804301]"
22,"[29, 25, 23, 17, 3, 22, 21, 7, 31, 15, 30, 27, 13, 11, 4, 9, 24, 8, 1, 2]",20,"[0.0, 0.0, 0.0, 0.3819485808026437, 0.049451519934774424, 0.0, 0.0, 0.2068554664061943, 0.0, 0.015385993372103914, 0.0, 0.0565451922889359, 0.0, 0.06314794013289224, 0.0, 0.13228991825391057, 0.0, 0.4831081087031401, 0.0, 0.0, 0.0, 0.32730337902373335, 0.36629664109421367, 0.9461563644962173, 0.0, 1.0, 0.0, 0.10607295768498022, 0.0, 1.0, 0.1279781381398355, 0.1643575812442667]"
23,"[27, 16, 1, 31, 15, 14, 2, 13, 29, 18, 21, 30, 7, 8, 0, 28, 22, 24, 23, 3]",20,"[0.0038958713770690986, 0.9352311263237962, 0.5650897400435946, 0.0, 0.0, 0.0, 0.0, 0.09636429768849138, 0.048395409749930285, 0.0, 0.0, 0.0, 0.0, 0.48585363438209894, 0.6582368775387224, 0.8427636838711177, 1.0, 0.0, 0.430561420238355, 0.0, 0.0, 0.3860837587053481, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.47792824450798643, 0.20089727150917208, 0.9017526021265456]"
24,"[27, 7, 14, 31, 9, 1, 30, 29, 11, 2, 24, 17, 28, 20, 5, 26, 21, 13, 6, 4]",20,"[0.0, 0.39080344290494884, 0.3288272337781625, 0.0, 0.0, 0.11917584768724143, 0.0, 1.0, 0.0, 0.39836987909980753, 0.0, 0.36722123680245333, 0.0, 0.030080800150073722, 0.8897884511254577, 0.0, 0.0, 0.2079967398591046, 0.0, 0.0, 0.15647214794300085, 0.10102972241318536, 0.0, 0.0, 0.27295641639070733, 0.0, 0.11424978333808511, 1.0, 0.1675422382682737, 0.38457736460330316, 0.3907176954652495, 0.87152272343999]"
25,"[27, 23, 5, 6, 21, 16, 4, 18, 29, 13, 3, 10, 20, 11, 7, 2, 8, 9, 1, 31]",20,"[0.0, 0.0, 0.0, 0.15728370993519564, 0.4307114683100165, 0.5176415717788562, 0.4830840443032173, 0.0, 0.0, 0.0, 0.07971729998946869, 0.0, 0.0, 0.2582758183623535, 0.0, 0.0, 0.47525133938244446, 0.0, 0.38069392394287704, 0.0, 0.061065537404994985, 0.47712317107152763, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.30578126292368624, 0.0, 0.0]"
26,"[15, 18, 2, 5, 28, 13, 9, 24, 10, 31, 23, 26, 8, 1, 0, 4, 20, 16, 19, 25]",20,"[0.14260773928755488, 0.16849616648807575, 1.0, 0.0, 0.14243306422687946, 1.0, 0.0014958527691928125, 0.0653005482275264, 0.17576977772970115, 0.43331650460837723, 0.304256363480153, 0.0, 0.0, 0.45261445005181256, 0.0, 1.0, 0.10407744155667384, 0.0, 1.0, 0.09788544703658991, 0.11051696948526024, 0.0, 0.0, 0.2226669395738596, 0.4154551731881724, 0.06996920409670526, 0.17727672775960568, 0.0, 0.8022227149506871, 0.06112296281230113, 0.03922528089099345, 0.22653263256822925]"
27,"[27, 13, 1, 23, 3, 20, 10, 9, 29, 28, 30, 6, 4, 18, 16, 26, 5, 2, 7, 8]",20,"[0.0, 1.0, 0.0, 0.6616331994389326, 0.32811752811361283, 0.0, 0.35111321355405717, 0.0, 0.0, 0.43686018691312367, 0.615766925136494, 0.0, 0.0, 1.0, 0.0, 0.0, 0.2144118511404286, 0.0, 0.2767140933271778, 0.0, 0.619110833661636, 0.0, 0.0, 0.7207872197095162, 0.0, 0.0, 0.09222466056305545, 1.0, 0.3965187568595703, 0.4231335808733146, 0.39118752802890683, 0.0]"
28,"[28, 27, 22, 1, 0, 13, 23, 29, 25, 16, 9, 31, 11, 3, 2, 5, 7, 4, 8, 19]",20,"[0.5874639596072039, 0.9741919283645599, 0.2084319010626406, 0.20879665903808092, 0.09977027087663981, 0.17437132712421255, 0.0, 0.12990307321671596, 0.09314860987231341, 0.3815984513261584, 0.0, 0.28876598461312764, 0.0, 0.49623568885865477, 0.0, 0.0, 0.38346665344802183, 0.0, 0.0, 0.08987338219753238, 0.0, 0.0, 1.0, 0.49345254642075875, 0.0, 0.4350398797703251, 0.0, 1.0, 1.0, 0.4412347755256355, 0.0, 0.3812623027428573]"
29,"[15, 17, 20, 23, 3, 8, 6, 11, 4, 14, 19, 30, 5, 2, 1, 27, 24, 18, 0, 31]",20,"[0.1781570850598555, 0.24037980736563985, 0.26670708052442726, 0.562449177502595, 0.45406288583426324, 0.2958828239811287, 0.4702261413535944, 0.038158125801318665, 0.48388073059069925, 0.0, 0.0, 0.4647692221178664, 0.0, 0.04524338954282853, 0.4140392372078593, 1.0, 0.0, 1.0, 0.1893248978236177, 0.36185534579535406, 1.0, 0.0, 0.0, 1.0, 0.1909043915337068, 0.0, 0.0, 0.23547862899117428, 0.017659110997956265, 0.011830324274690773, 0.3399962736989901, 0.060415348795830534]"
30,"[6, 25, 10, 11, 31, 29, 17, 16, 19, 23, 21, 2, 14, 12, 26, 15, 4, 9, 30, 18]",20,"[0.0, 0.0, 0.2964545524407671, 0.0, 0.04556770555132332, 0.0, 1.0, 0.0, 0.0, 0.016062462361994906, 1.0, 1.0, 0.27457250322729254, 0.0, 0.29166502056927757, 0.09290122162052991, 0.43850870123112934, 0.4878863735493555, 0.0, 0.42550550094964745, 0.0, 0.3464386859621698, 0.0, 0.38731792460268444, 0.0, 1.0, 0.14695201575956038, 0.0, 0.0, 0.5258634258052106, 0.0, 0.5288995030920244]"
31,"[21, 18, 15, 9, 27, 30, 3, 16, 28, 11, 22, 23, 7, 2, 26, 1, 0, 5, 12, 14]",20,"[0.02600486362447818, 0.0655244703814244, 0.2686597544455945, 0.5, 0.0, 0.022473123098888798, 0.0, 0.3365060684288393, 0.0, 0.5439567395799583, 0.0, 0.3942979086281108, 0.00011803820277622723, 0.0, 0.0, 0.908191272961578, 0.5, 0.0, 1.0, 0.0, 0.0, 1.0, 0.39053193413102166, 0.3540310190746976, 0.0, 0.0, 0.2573935897733649, 0.5030185342656252, 0.4199096468369373, 0.0, 0.5, 0.0]"
32,"[2, 5, 8, 1, 25, 21, 31, 26, 10, 15, 29, 11, 6, 7, 28, 24, 17, 22, 9, 3]",20,"[0.0, 0.5095060727988384, 1.0, 0.0, 0.0, 1.0, 0.19146058899084148, 0.1875272526786067, 1.0, 0.0, 0.264950779898257, 0.1957834022210862, 0.0, 0.0, 0.0, 0.24354901722442174, 0.0, 0.003175951775634747, 0.0, 0.0, 0.0, 0.37618637239731734, 0.0, 0.0, 0.13590746254246744, 0.5, 0.2652947299883442, 0.0, 0.15979619441191778, 0.22046599593582997, 0.0, 0.36204324825410783]"
