participant,channels,n_channels,channel_acc
21,"[31, 17, 24, 2, 28, 5, 25, 11, 19, 10, 18, 13, 20, 22, 21, 14, 0, 15, 3, 7]",20,"[0.2128921125046529, 0.0, 0.7175090127218194, 0.10222085334138992, 0.00949221281367163, 0.5630529872966917, 0.0, 0.09767005524352429, 0.0, 0.0, 0.4755901084428423, 0.5, 0.0, 0.4345514512192763, 0.2418089485089482, 0.1648144459694597, 0.0, 1.0, 0.4535852890748276, 0.5, 0.375093289193978, 0.2476554719052188, 0.25776740265554277, 0.018292655062215446, 0.8706163130825628, 0.5, 0.0, 0.0, 0.7006423656069233, 0.09089406018476792, 0.0, 1.0]"
22,"[6, 17, 29, 19, 13, 11, 30, 1, 14, 0, 22, 27, 3, 4, 8, 15, 16, 24, 7, 12]",20,"[0.29350191168281614, 0.31887777392551103, 0.0, 0.25056022793504557, 0.19675415853599343, 0.0, 1.0, 0.0671231546570549, 0.15455371955888358, 0.0, 0.0, 0.42095891715293754, 0.05983623812663774, 0.43953452338990684, 0.3028503153667654, 0.11656656772605245, 0.11121829234257374, 1.0, 0.0, 0.571968615187014, 0.0, 0.0, 0.2840294098208622, 0.0, 0.09472804652970024, 0.0, 0.0, 0.2812275332211084, 0.0, 0.5865077608215742, 0.41064181843153413, 0.0]"
23,"[23, 9, 8, 2, 29, 16, 6, 26, 13, 22, 3, 19, 5, 11, 7, 4, 1, 10, 31, 15]",20,"[0.0, 0.0, 0.5036356766996855, 0.16991161884473285, 0.0, 0.0, 0.43669432009541664, 0.0, 0.5115392439093281, 0.9816531623898151, 0.0, 0.0, 0.0, 0.41613975037311696, 0.0, 0.0, 0.5, 0.0, 0.0, 0.08706702088376717, 0.0, 0.0, 0.20385414353591225, 1.0, 0.0, 0.0, 0.43175791106798, 0.0, 0.0, 0.5, 0.0, 0.0]"
24,"[5, 8, 26, 19, 23, 31, 15, 25, 0, 14, 9, 29, 7, 6, 4, 24, 20, 30, 1, 16]",20,"[0.47362594027500776, 0.07771906330468244, 0.0, 0.0, 0.21166348215292385, 1.0, 0.2858027341981868, 0.3059281721679449, 1.0, 0.44999999999999996, 0.0, 0.0, 0.02126083560389999, 0.0, 0.451998091326862, 0.5, 0.0634734972410898, 0.0009987918285903619, 0.0, 0.7593435608588187, 0.18567338941537326, 0.0, 0.0, 0.596603956672472, 0.19589858562576626, 0.5, 1.0, 0.0, 0.0, 0.35265175426792483, 0.10937553942122683, 0.5]"
25,"[14, 11, 16, 0, 17, 25, 24, 10, 31, 13, 3, 9, 28, 22, 29, 21, 23, 7, 1, 2]",20,"[0.7782432263963304, 0.0, 0.0, 0.23711442854395315, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20673427455145088, 0.3368234706624468, 0.9723762191682119, 0.0, 0.2688052834740791, 1.0, 0.0, 0.9232983188754549, 0.5, 0.0, 0.0, 0.0, 0.03141017459694914, 0.06593727386130133, 0.0, 0.40150658958542834, 0.42485124016472264, 0.0, 0.0, 0.10824378509423394, 0.04076678071483922, 0.0, 0.2731544320759274]"
26,"[22, 24, 9, 10, 30, 21, 0, 18, 26, 8, 4, 5, 12, 6, 7, 3, 2, 1, 11, 31]",20,"[0.3391128130899533, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.030474975883943323, 0.4726600988066755, 0.45383310454088943, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.27839087007334956, 0.0, 0.0, 0.42607221424173247, 0.9907118271388772, 0.0, 0.483707961203997, 0.0, 0.12933017443205297, 0.0, 0.0, 0.0, 0.43229587017111637, 0.0]"
27,"[0, 16, 28, 20, 14, 19, 10, 8, 5, 2, 7, 22, 9, 13, 18, 15, 26, 30, 17, 21]",20,"[1.0, 0.0, 0.47647069519102825, 0.0, 0.0, 0.49566770202728916, 0.0, 0.44663915639178914, 0.5, 0.13289012196095876, 0.5748764810785039, 0.0, 0.0, 0.10424290523632462, 1.0, 0.08906620938662789, 1.0, 0.0, 0.09040133642795323, 0.6392839971688266, 1.0, 0.0, 0.19548600347199818, 0.0, 0.0, 0.0, 0.05245672866661984, 0.0, 1.0, 0.0, 0.0, 0.0]"
28,"[11, 22, 21, 12, 7, 23, 5, 30, 20, 13, 16, 15, 18, 2, 28, 3, 27, 0, 6, 24]",20,"[0.3495505746963341, 0.20670027972390015, 0.3703090232539241, 0.3686842742235644, 0.2222223751071637, 0.5, 0.3351845861188191, 0.6402097858829089, 0.08596276736440078, 0.0, 0.0, 1.0, 0.778289787876046, 0.447419700343256, 0.0, 0.3851499849302943, 0.3975167221393915, 0.0, 0.38116809422782416, 0.014491593213717707, 0.4519543782631142, 0.9411098472198075, 1.0, 0.5380536278916075, 0.2954292722560191, 0.0, 0.0, 0.36654583093618665, 0.369654657823727, 0.0, 0.47105351021457376, 0.09418675740568774]"
29,"[30, 8, 5, 3, 6, 24, 22, 23, 27, 14, 1, 4, 21, 25, 19, 17, 31, 2, 29, 13]",20,"[0.11591620250188453, 0.3203245589912689, 0.15188318295613157, 0.8137905160728258, 0.30970494593291636, 0.8374242816522545, 0.7499288566598608, 0.0, 1.0, 0.0, 0.10994277907602557, 0.0, 0.0, 0.1310332473568713, 0.3305369916989685, 0.0, 0.0, 0.22792070897690425, 0.0, 0.24077094420705836, 0.0, 0.3002324513790594, 0.38407538793967966, 0.36735307123017547, 0.48083065096761357, 0.25342789563547635, 0.016401353313249295, 0.3582741229133745, 0.03381439755117126, 0.14380151250503576, 1.0, 0.19318638192843868]"
30,"[23, 19, 26, 18, 24, 1, 20, 9, 13, 6, 16, 8, 7, 31, 11, 5, 4, 3, 2, 10]",20,"[0.0, 0.456244681610687, 0.0, 0.0, 0.0, 0.0, 0.21566044160632009, 0.0, 0.0, 0.41729853195318856, 0.0, 0.0, 0.0, 0.3548113339684061, 0.0, 0.0, 0.16392948570425944, 0.0, 0.4980408059333389, 1.0, 0.44999999999999996, 0.0, 0.0, 1.0, 0.4596579681383173, 0.0, 0.9981537266905636, 0.0, 0.0, 0.0, 0.0, 0.0]"
31,"[2, 4, 1, 7, 15, 10, 29, 16, 9, 31, 20, 23, 19, 5, 27, 6, 3, 30, 17, 12]",20,"[0.0, 0.9370780459279427, 1.0, 0.11902802333944867, 1.0, 0.2183204801764728, 0.13714505079545208, 0.8256725963212144, 0.0, 0.4159329574384243, 0.5, 0.0, 0.07408368179720781, 0.02479230618131595, 0.0, 0.5, 0.41954916010882204, 0.08071650450250789, 0.0, 0.22159701592175834, 0.2671732372195602, 0.0, 0.0, 0.23285604841387125, 0.0015414639361082116, 0.0, 0.0, 0.16023569672163357, 0.011125458858347148, 0.4482978261727427, 0.10119176900455955, 0.2834727335948169]"
32,"[6, 5, 1, 13, 11, 27, 29, 10, 20, 16, 21, 18, 4, 26, 12, 19, 17, 25, 31, 23]",20,"[0.0, 1.0, 0.0, 0.0, 0.17236469871896307, 1.0, 1.0, 0.0, 0.0, 0.0, 0.4683998220295521, 0.7106947903776976, 0.15713931104984596, 0.9286688318964529, 0.0, 0.0, 0.32593267191624464, 0.057768391707474234, 0.22490034557611277, 0.1365448142403788, 0.45540191115323525, 0.29156762927881924, 0.0, 0.0392552914973785, 0.0, 0.04942285742999955, 0.16873900263900793, 0.6357969830727773, 0.0, 0.5, 0.0, 0.046645266523224094]"
